"clave","es","en",
"DL_M1_GUARDIALAGO_2","Parece un sueño ver nuevamente agua limpia en la Tierra :).","It seems like a dream to see clean water on Earth again :).",
"DL_M1_GUARDCAMP","Un Campamento de Guardias...Si nos acercamos debemos estar preparados para luchar a muerte.","A Guard Camp...If we get close we must be prepared to fight to the death.",
"DL_M1_DEATHGUARD_1","Tal parece que la llegada de nuestra nave no fue un signo de buena suerte para él...","It seems that the arrival of our ship was not a sign of good luck for him ...",
"DL_M1_DEATHGUARD_2","Que mala forma de morir...","What a bad way to die...",
"DL_M1_DEATHGUARD_3","Parece que llevaba muestras valiosas hacia algún lugar...¿Deberíamos tomarlas?","It seems he was carrying valuable samples somewhere... should we take them?",
"DL_M1_DEATHGUARD_4","Bueno. No creo que él pueda detenernos de todas formas.","Well. I don't think he can stop us anyway.",
"ITEM_SHOP_BANDAGE","Paquete de baja calidad de curación...al menos todavía sirve","Low-quality healing package ... at least it still works",
"ITEM_SHOP_DAMAGE1ST","Balas experimentales enviadas desde la base (Son más potentes, pero también más peligrosas)","Experimental bullets sent from the base (They are more powerful, but also more dangerous)",
"ITEM_SHOP_RADIOGRENADE,"La granada se construye con un nueva aleación, que con pequeños ajustes permite un radio de efecto más grande sin cambiar la cantidad de explosivo requerido.","The grenade is built with a new alloy, which with minor adjustments allows for a larger radius of effect without changing the amount of explosive required.",
"ITEM_SHOP_EXPAND","Potencia el área de efecto de despliege, permitiendo comprar recursos y enviar señales a mayor distancia de este.","It enhances the deployment area, allowing you to buy resources and send signals at a greater distance from it.",
"ITEM_SHOP_REPAIRCORE","Herramientas usadas enviadas desde la base, al menos sirven para reparar el Núcleo.","Used tools sent from the base, at least they can be used to repair the Core",
"ITEM_SHOP_DELAY1ST","Piezas de baja calidad enviadas para reforzar nuestras armas. (Nos hace disparar más rápido :D)","Low quality parts sent to reinforce our weapons. (It makes us shoot faster :D)",
"ITEM_SHOP_DELAYGRENADE","Piezas experimentales de dudosa manufactura que permiten al lanzagranadas disparar con mayor frecuencia...esperemos que no explote...","Experimental pieces of dubious manufacture that allow the grenade launcher to fire more frequently ... hopefully it doesn't explode ...",
"ITEM_SHOP_SPEED","Droga experimental, nos mantiene más alerta y nos permite movernos más rápido. (Se desconocen efectos secundarios)","Experimental drug, keeps us more alert and allows us to move faster (Side effects unknown)",
"ITEM_BUILD_TORRETA","Torreta de baja Construcción. ¡Tiene potencia! Pero demora mucho entre disparos :(","Low Construction Turret. It has power! But it takes a long time between shots :(",
"ITEM_BUILD_TORRETA2","Torreta experimental de gama media, es resistente y tiene gran potencia... pero son cada vez más escasas y costosas de fabricar.","Experimental turret of average quality, it is resistant and has great power ... but they are increasingly rare and expensive to manufacture.",
"ROUND_TIMER_TEXT","Pulso en:","Pulse in:",
"ROUND_TIMERBETWEEN_TEXT","Siguiente Ronda En","Next Round In",
"ROUND_END_TEXT","¡Oleada Terminada!","Wave Over!",
"SCORE_TOTAL_TEXT","Rondas Totales","Total Rounds",
"SCORE_NEW_TOTAL_TEXT","Nuevo","New",
"SCORE_NEW_HIGHSCORE","Puntaje más Alto","HighScore",
"SCORE_KILLCOUNT_TEXT","Enemigos Eliminados","Killed Enemies",
"SCORE_DAMAGECOUNT_TEXT","Daño Infligido","Damage Dealt",
"ENDLESS_TEXT1","Estos Corresponden a los últimos momentos del Escuadrón de Reconocimiento Terrestre C-12... o lo que quedaba de este antes de entablar contacto desde el núcleo de terraformación artificial.","These are the last moments of the C-12 Land Reconnaissance Squadron... or what was left of it before making contact from the artificial terraforming core.",
"ENDLESS_TEXT2","Debido a las condiciones climáticas lo único que el comando central podía recibir eran señales de petición de recursos. La zona era supuestamente segura, pero la actividad de la fauna local había aumentado considerablemente...","Due to the weather conditions, the only thing the central command could receive were resource request signals. The area was supposedly safe, but the activity of the local fauna had increased considerably...",
"ENDLESS_TEXT3_TITLE","Nota Experimental","Experimental Note",
"ENDLESS_TEXT3","La aplicación de la nueva técnica parece ser eficaz en evitar la detección de la actividad terraformadora por parte de la fauna local.","The application of the new technique appears to be effective in avoiding the detection of terraforming activity by local fauna.",
